unit_id,apn,bedrooms,mar_status,parcel_unit_count,size_class,use_class,rcb_comparable
1003-ashland-ave-c,4285012014,3+,controlled,8,multifamily,five_plus,1
1003-broadway,4282025015,0,zero_mar,1,single,single,0
1003-grant-st,4284015021,2,controlled,3,small,two_three,0
1003-michigan-ave,4283017023,1,controlled,5,multifamily,five_plus,1
1003-washington-ave,4281025013,1,controlled,16,multifamily,five_plus,1
1004-10th-st,4281029001,3+,controlled,3,small,two_three,0
1004-hill-st,4285012031,3+,zero_mar,2,small,two_three,0
1004-michigan-ave,4283023017,2,controlled,3,small,two_three,0
1004-montana-ave,4281024024,0,controlled,5,multifamily,commercial,1
1004-pine-st,4284010001,2,controlled,2,small,two_three,0
1005-5th-st-a,4292011021,1,controlled,8,multifamily,five_plus,1
1005-5th-st-b,4292011021,0,controlled,8,multifamily,five_plus,1
1005-ashland-ave,4285012014,1,controlled,8,multifamily,five_plus,1
1005-ashland-ave-a,4285012014,1,controlled,8,multifamily,five_plus,1
1005-ashland-ave-b,4285012014,1,controlled,8,multifamily,five_plus,1
1005-ashland-ave-c,4285012014,1,controlled,8,multifamily,five_plus,1
1005-hill-st-1,4285001007,2,controlled,7,multifamily,five_plus,1
1005-hill-st-2,4285001007,2,controlled,7,multifamily,five_plus,1
1005-hill-st-3,4285001007,2,controlled,7,multifamily,five_plus,1
1005-hill-st-4,4285001007,1,controlled,7,multifamily,five_plus,1
1005-hill-st-5,4285001007,2,controlled,7,multifamily,five_plus,1
1005-hill-st-6,4285001007,2,controlled,7,multifamily,five_plus,1
1005-hill-st-7,4285001007,1,controlled,7,multifamily,five_plus,1
1005-michigan-ave,4283017023,1,controlled,5,multifamily,five_plus,1
1005-washington-ave,4281025013,1,controlled,16,multifamily,five_plus,1
1006-21st-st,4277024021,2,controlled,4,multifamily,four,1
1006-21st-st-a,4277024021,0,controlled,4,multifamily,four,1
1006-21st-st-b,4277024021,1,controlled,4,multifamily,four,1
1006-21st-st-c,4277024021,1,controlled,4,multifamily,four,1
1006-michigan-ave,4283023017,1,controlled,3,small,two_three,0
1006-montana-ave,4281024024,0,zero_mar,5,multifamily,commercial,0
1007-12th-st,4281018023,2,controlled,2,small,two_three,0
1007-16th-st,4281003020,1,controlled,4,multifamily,two_three,0
1007-16th-st-1-2,4281003020,1,controlled,4,multifamily,two_three,0
1007-20th-st-1,4277024061,3+,controlled,1,single,single,0
1007-20th-st-10,4277024070,3+,controlled,1,single,single,0
1007-20th-st-2,4277024062,3+,controlled,1,single,single,0
